Kecamatan,ds,y_smooth
KECAMATAN_A,2026-01-05,3964.708
KECAMATAN_A,2026-01-12,3824.5941
KECAMATAN_A,2026-01-19,3794.2022
KECAMATAN_A,2026-01-26,3772.4937
KECAMATAN_A,2026-02-02,3756.2123
KECAMATAN_A,2026-02-09,3582.1169
KECAMATAN_A,2026-02-16,3606.3467
KECAMATAN_A,2026-02-23,3795.0996
KECAMATAN_A,2026-03-02,3525.88
KECAMATAN_A,2026-03-09,3528.273
KECAMATAN_A,2026-03-16,3511.9916
KECAMATAN_A,2026-03-23,2043.6762
KECAMATAN_A,2026-03-30,3283.2831
KECAMATAN_B,2026-01-05,2536.2418
KECAMATAN_B,2026-01-12,2556.9768
KECAMATAN_B,2026-01-19,2527.9815
KECAMATAN_B,2026-01-26,2507.2706
KECAMATAN_B,2026-02-02,2491.7374
KECAMATAN_B,2026-02-09,2386.7982
KECAMATAN_B,2026-02-16,2456.6523
KECAMATAN_B,2026-02-23,2606.7913
KECAMATAN_B,2026-03-02,2381.1088
KECAMATAN_B,2026-03-09,2274.273
KECAMATAN_B,2026-03-16,2258.7399
KECAMATAN_B,2026-03-23,1039.2775
KECAMATAN_B,2026-03-30,1785.231
KECAMATAN_C,2026-01-05,3010.3069
KECAMATAN_C,2026-01-12,2894.0727
KECAMATAN_C,2026-01-19,2842.7775
KECAMATAN_C,2026-01-26,2806.138
KECAMATAN_C,2026-02-02,2778.6584
KECAMATAN_C,2026-02-09,2627.141
KECAMATAN_C,2026-02-16,2627.4447
KECAMATAN_C,2026-02-23,2745.5614
KECAMATAN_C,2026-03-02,2458.3161
KECAMATAN_C,2026-03-09,2393.944
KECAMATAN_C,2026-03-16,2366.4644
KECAMATAN_C,2026-03-23,964.367
KECAMATAN_C,2026-03-30,1914.1592
KECAMATAN_D,2026-01-05,1908.9055
KECAMATAN_D,2026-01-12,1861.6374
KECAMATAN_D,2026-01-19,1849.191
KECAMATAN_D,2026-01-26,1840.3008
KECAMATAN_D,2026-02-02,1833.6331
KECAMATAN_D,2026-02-09,1747.9771
KECAMATAN_D,2026-02-16,1764.4091
KECAMATAN_D,2026-02-23,1872.0909
KECAMATAN_D,2026-03-02,1730.8459
KECAMATAN_D,2026-03-09,1740.2855
KECAMATAN_D,2026-03-16,1733.6178
KECAMATAN_D,2026-03-23,811.11
KECAMATAN_D,2026-03-30,1748.082
KECAMATAN_E,2026-01-05,1988.8348
KECAMATAN_E,2026-01-12,1983.9182
KECAMATAN_E,2026-01-19,1980.4063
KECAMATAN_E,2026-01-26,1977.7723
KECAMATAN_E,2026-02-02,1850.3935
KECAMATAN_E,2026-02-09,1911.0085
KECAMATAN_E,2026-02-16,2011.0403
KECAMATAN_E,2026-02-23,1920.1267
KECAMATAN_E,2026-03-02,1933.5358
KECAMATAN_E,2026-03-09,1922.2066
KECAMATAN_E,2026-03-16,1940.8974
KECAMATAN_E,2026-03-23,1292.6354
KECAMATAN_E,2026-03-30,2241.9983
