Model,Kecamatan,MAPE (%),RMSE,MAE,R2
XGBoost,KECAMATAN_A,6.5,379,265,0.686
XGBoost,KECAMATAN_B,12.3,421,336,0.308
XGBoost,KECAMATAN_C,8.1,335,267,0.789
XGBoost,KECAMATAN_D,24.2,371,280,0.124
XGBoost,KECAMATAN_E,4.8,137,99,0.767
LightGBM,KECAMATAN_A,5.9,347,241,0.736
LightGBM,KECAMATAN_B,11.8,405,344,0.36
LightGBM,KECAMATAN_C,10.1,363,288,0.753
LightGBM,KECAMATAN_D,19.4,299,238,0.433
LightGBM,KECAMATAN_E,4.9,137,107,0.77
Stacking Ensemble,KECAMATAN_A,6.5,368,257,0.704
Stacking Ensemble,KECAMATAN_B,12.2,415,336,0.328
Stacking Ensemble,KECAMATAN_C,9.3,334,278,0.79
Stacking Ensemble,KECAMATAN_D,22.4,347,263,0.238
Stacking Ensemble,KECAMATAN_E,5.6,164,116,0.668
SARIMA,KECAMATAN_A,15.0,744,540,-0.212
SARIMA,KECAMATAN_B,19.8,662,464,-0.707
SARIMA,KECAMATAN_C,29.0,968,799,-0.759
SARIMA,KECAMATAN_D,23.3,419,294,-0.114
SARIMA,KECAMATAN_E,14.1,401,287,-0.974
LSTM,KECAMATAN_A,14.6,727,513,-0.157
LSTM,KECAMATAN_B,32.9,1097,951,-3.687
LSTM,KECAMATAN_C,25.8,784,606,-0.155
LSTM,KECAMATAN_D,17.7,406,230,-0.045
LSTM,KECAMATAN_E,11.6,318,239,-0.24
